country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,numberHotTasks
Fiji ,FJI,905949,18270,49.59,5706.36805,5.8,156198.1034,3150,0,24
Finland ,FIN,5231372,338145,15.47,305321.1438,231,22646.63203,1463.831169,881719,0
France ,FRA,60876136,547030,111.28,1686688.258,3276.8,18577.92236,166.9403076,44503935,0
French Guiana ,GUF,199509,91000,2.19,4237.767358,0,0,0,54364,0
French Polynesia ,PYF,274578,4167,65.89,2720.440443,0,0,0,1375,0
French Southern Territories,ATF,0,439781,0,52.64364501,0,0,0,117,0
Gabon ,GAB,1424906,267667,5.32,50455.81661,0,0,0,2726,0
GCC states,0,50761260,2673108,18.99,0,50,1015225.2,53462.16,105164,0
"Gambia, The ",GMB,1641564,11300,145.27,6825.188112,0,0,0,26334,4
Gaza Strip ,0,1428757,360,3968.77,0,0,0,0,169410,0
Georgia ,GEO,4661473,69700,66.88,68855.07371,36.4,128062.4451,1914.835165,103699,0
Germany ,DEU,82422299,357021,230.86,1735080.833,2764.8,29811.30606,129.1308594,24228269,0
Ghana ,GHA,22409572,239460,93.58,58498.7739,0,0,0,36865,5
Gibraltar ,GIB,27928,7,3989.71,96.89065467,0,0,0,1224,0
Greece ,GRC,10688058,131940,81.01,255824.896,122,87607.03279,1081.47541,222654,0
Greenland ,GRL,56361,2166086,0.03,751.5969466,0,0,0,13871,0
Grenada ,GRD,89703,344,260.76,1004.50658,0,0,0,1721,0
Guadeloupe ,GLP,452776,1780,254.37,5733.920972,0,0,0,302361,0
Guam ,GUM,171019,541,316.12,0,0,0,0,15647,0
Guatemala ,GTM,12293545,108890,112.9,31396.95901,10.1,1217182.673,10781.18812,24432,2
Guernsey ,GGY,65409,78,838.58,0,0,0,0,473,0
Guinea ,GIN,9690222,245857,39.41,74783.63067,42.3,229083.2624,5812.222222,447787,43
Guinea-Bissau ,GNB,1442029,36120,39.92,6010.873835,5,288405.8,7224,37230,0
Guyana ,GUY,767245,214970,3.57,5120.392489,0,0,0,49430,4
Haiti ,HTI,8308504,27750,299.41,23831.04999,0,0,0,330166,32
Haiti and Dominican Republic,0,17492488,76480,228.72,62180.9514,37.1,471495.6334,2061.455526,374965,0
Holy See,VAT,0,0,0,20.2135831,0,0,0,0,0
Honduras ,HND,7326496,112090,65.36,24834.57304,0,0,0,40795,11
Hong Kong ,HKG,6940432,1092,6355.71,5261.552169,0,0,0,26199,0
Hungary ,HUN,9981334,93030,107.29,209886.6438,112,89119.05357,830.625,643935,0
Iceland ,ISL,299388,103000,2.91,22863.96237,18.6,16096.12903,5537.634409,83311,0
India ,IND,1095351995,3287590,333.18,1060548.099,365,3000964.37,9007.09589,4447175,20
Indonesia ,IDN,245452739,1919440,127.88,296339.5914,211,1163283.123,9096.872038,4343500,91
Iran ,IRN,68688433,1648000,41.68,276132.4372,53,1296008.17,31094.33962,118702,2
Iraq ,IRQ,26783383,437072,61.28,88135.31827,19.4,1380586.753,22529.48454,42126,3
Ireland ,IRL,4062235,70280,57.8,126869.6431,121,33572.19008,580.8264463,337693,1
Isle of Man ,IMN,75441,572,131.89,0,2.2,34291.36364,260,10664,0
Israel ,ISR,6352117,20770,305.83,51551.34911,0,0,0,212447,2
Israel and Palstine,0,10902485,26990,403.95,72546.28069,56,194687.2321,481.9642857,237610,0
Italy ,ITA,58133509,301230,192.99,870074.123,1126.4,51610.00444,267.4272017,9205376,2
Jamaica ,JAM,2758124,10991,250.94,14114.33097,0,0,0,35223,2
Japan ,JPN,127463611,377835,337.35,1369422.007,1024,124476.1826,368.9794922,3641840,16
Jersey ,JEY,91084,116,785.21,0,0,0,0,3529,0
Jordan ,JOR,5906760,92300,64,35591.11587,8.2,720336.5854,11256.09756,28840,0
Kazakhstan ,KAZ,15233244,2717300,5.61,209540.8574,57,267249.8947,47671.92982,524261,0
Kenya ,KEN,34707817,582650,59.57,92745.06806,18.2,1907022.912,32013.73626,109463,25
Kiribati ,KIR,105432,811,130,615.5175199,0,0,0,2260,2
"Korea, North ",PRK,23113019,120540,191.75,44626.07062,16.8,1375774.94,7175,38576,0
"Korea, South ",KOR,48846823,98480,496.01,131803.8876,52,939361.9808,1893.846154,55542,0
Kosovo,0,1859203,10908,170.44,0,9.4,197787.5532,1160.425532,26419,0
Kuwait ,KWT,2418393,17820,135.71,12021.51061,0,0,0,2663,0
Kyrgyzstan ,KGZ,5213898,198500,26.27,46244.78131,19.4,268757.6289,10231.95876,323757,2
Laos ,LAO,6368481,236800,26.89,37206.81074,0,0,0,5753,0
Latvia ,LVA,2274735,64589,35.22,61102.57465,49.2,46234.45122,1312.784553,343530,0
Lebanon ,LBN,3874050,10400,372.5,16815.95457,6.1,635090.1639,1704.918033,4480,0
Lesotho ,LSO,2022331,30355,66.62,28477.29865,59,34276.79661,514.4915254,579309,5
Liberia ,LBR,3042004,111370,27.31,25383.78875,20.9,145550.4306,5328.708134,319884,18
Libya,LBY,5900754,1759540,3.35,74173.80441,8,737594.25,219942.5,12871,0
Liechtenstein ,LIE,33987,160,212.42,762.5200814,1.5,22658,106.6666667,12534,0
Lithuania ,LTU,3585906,65200,55,103127.386,80,44823.825,815,612699,0
Luxembourg ,LUX,474413,2586,183.45,13378.69281,18.7,25369.67914,138.2887701,86671,0
Macau ,MAC,453125,28,16183.04,481.9611432,0,0,0,3226,0
