country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,popPerBuilding,numHotTasks
Guatemala ,GTM,12293545,108890,112.9,31396.95901,10.1,1217182.673,10781.18812,24432,503.1739113,2
Guernsey ,GGY,65409,78,838.58,0,418kb,0,0,473,138.2854123,0
Guinea ,GIN,9690222,245857,39.41,74783.63067,40.1,241651.4214,6131.097257,447787,21.6402486,43
Guinea-Bissau ,GNB,1442029,36120,39.92,6010.873835,4.9,294291.6327,7371.428571,37230,38.73298415,0
Guyana ,GUY,767245,214970,3.57,5120.392489,3.1,247498.3871,69345.16129,49430,15.52184908,4
Haiti ,HTI,8308504,27750,299.41,23831.04999,26,319557.8462,1067.307692,330166,25.16462628,32
Haiti and Dominican Republic,0,17492488,76480,228.72,62180.9514,37.1,471495.6334,2061.455526,374965,46.65098876,0
Holy See,VAT,0,0,0,20.2135831,0.08105469,0,0,0,0,0
Honduras ,HND,7326496,112090,65.36,24834.57304,9.1,805109.4505,12317.58242,40795,179.5929893,11
Hong Kong ,HKG,6940432,1092,6355.71,5261.552169,7.8,889798.9744,140,26199,264.9120959,0
Hungary ,HUN,9981334,93030,107.29,209886.6438,112,89119.05357,830.625,643935,15.50053033,0
Iceland ,ISL,299388,103000,2.91,22863.96237,18.6,16096.12903,5537.634409,83311,3.59361909,0
India ,IND,1095351995,3287590,333.18,1060548.099,365,3000964.37,9007.09589,4447175,246.3028765,20
Indonesia ,IDN,245452739,1919440,127.88,296339.5914,211,1163283.123,9096.872038,4343500,56.51035778,91
Iran ,IRN,68688433,1648000,41.68,276132.4372,53,1296008.17,31094.33962,118702,578.6628111,2
Iraq ,IRQ,26783383,437072,61.28,88135.31827,19.4,1380586.753,22529.48454,42126,635.7922186,3
Ireland ,IRL,4062235,70280,57.8,126869.6431,121,33572.19008,580.8264463,337693,12.02937283,1
Isle of Man ,IMN,75441,572,131.89,0,2.2,34291.36364,260,10664,7.074362341,0
Israel ,ISR,6352117,20770,305.83,51551.34911,35.4,179438.3333,586.7231638,212447,29.89977265,2
Israel and Palstine,0,10902485,26990,403.95,72546.28069,56,194687.2321,481.9642857,237610,45.88394849,0
Italy ,ITA,58133509,301230,192.99,870074.123,1126.4,51610.00444,267.4272017,9205376,6.315169418,2
Jamaica ,JAM,2758124,10991,250.94,14114.33097,4.6,599592.1739,2389.347826,35223,78.3046305,2
Japan ,JPN,127463611,377835,337.35,1369422.007,1024,124476.1826,368.9794922,3641840,34.99978335,16
Jersey ,JEY,91084,116,785.21,0,0.890625,102269.7544,130.245614,3529,25.81014452,0
Jordan ,JOR,5906760,92300,64,35591.11587,8.2,720336.5854,11256.09756,28840,204.8113731,0
Kazakhstan ,KAZ,15233244,2717300,5.61,209540.8574,57,267249.8947,47671.92982,524261,29.05660349,0
Kenya ,KEN,34707817,582650,59.57,92745.06806,18.4,1886294.402,31665.76087,109463,317.0735043,25
Kiribati ,KIR,105432,811,130,615.5175199,0.107421875,981476.0727,7549.672727,2260,46.65132743,2
"Korea, North ",PRK,23113019,120540,191.75,44626.07062,16.8,1375774.94,7175,38576,599.1554075,0
"Korea, South ",KOR,48846823,98480,496.01,131803.8876,52,939361.9808,1893.846154,55542,879.4574016,0
Kosovo,KOS,1859203,10908,170.44,0,9.4,197787.5532,1160.425532,26419,70.37370832,0
Kuwait ,KWT,2418393,17820,135.71,12021.51061,1.8,1343551.667,9900,2663,908.1460759,0
Kyrgyzstan ,KGZ,5213898,198500,26.27,46244.78131,19.4,268757.6289,10231.95876,323757,16.10435604,2
Laos ,LAO,6368481,236800,26.89,37206.81074,10.4,612353.9423,22769.23077,5753,1106.984356,0
Latvia ,LVA,2274735,64589,35.22,61102.57465,49.2,46234.45122,1312.784553,343530,6.621648764,0
Lebanon ,LBN,3874050,10400,372.5,16815.95457,6.1,635090.1639,1704.918033,4480,864.7433036,0
Lesotho ,LSO,2022331,30355,66.62,28477.29865,62.9,32151.52623,482.5914149,579309,3.490936616,5
Liberia ,LBR,3042004,111370,27.31,25383.78875,28.5,106736.9825,3907.719298,319884,9.50970977,18
Libya,LBY,5900754,1759540,3.35,74173.80441,8,737594.25,219942.5,12871,458.4534224,0
Liechtenstein ,LIE,33987,160,212.42,762.5200814,1.5,22658,106.6666667,12534,2.71158449,0
Lithuania ,LTU,3585906,65200,55,103127.386,80,44823.825,815,612699,5.852638898,0
Luxembourg ,LUX,474413,2586,183.45,13378.69281,18.7,25369.67914,138.2887701,86671,5.473722468,0
Macau ,MAC,453125,28,16183.04,481.9611432,0.360351563,1257452.575,77.70189702,3226,140.4603224,0
